iter	RMSE
0	16.54293682
1	16.00758778
2	15.58827708
3	15.16396407
4	14.77326279
5	14.38549672
6	14.01369234
7	13.67882816
8	13.34357515
9	12.99523117
10	12.65226566
11	12.30989705
12	11.98857582
13	11.69053911
14	11.46088617
15	11.23182459
16	11.03805088
17	10.78823684
18	10.55970582
19	10.34481023
20	10.11099307
21	9.896257451
22	9.703676388
23	9.526584794
24	9.345857849
25	9.210054342
26	9.077603716
27	8.908447538
28	8.751517788
29	8.615466807
30	8.512843571
31	8.382997102
32	8.293378974
33	8.171943837
34	8.046012497
35	7.95241258
36	7.877021417
37	7.778426151
38	7.733411095
39	7.648183401
40	7.537360188
41	7.45086407
42	7.364910687
43	7.273614648
44	7.182206857
45	7.114897408
46	7.029611201
47	6.956377849
48	6.883730602
49	6.81328549
50	6.753135508
51	6.67466038
52	6.6145758
53	6.559094255
54	6.498920198
55	6.45336928
56	6.402881099
57	6.354209861
58	6.294394757
59	6.251012736
60	6.197347481
61	6.15606043
62	6.097589206
63	6.048725172
64	6.00306794
65	5.959187531
66	5.922875318
67	5.908469386
68	5.866229402
69	5.82161461
70	5.788730404
71	5.754593491
72	5.736824188
73	5.698526672
74	5.67484947
75	5.633372747
76	5.619892407
77	5.585680508
78	5.556692496
79	5.523723528
80	5.503982243
81	5.465166194
82	5.448191731
83	5.42767975
84	5.403895624
85	5.370766686
86	5.345179874
87	5.327287632
88	5.296428397
89	5.280750617
90	5.263643916
91	5.239242768
92	5.218027719
93	5.189385304
94	5.163720466
95	5.158157477
96	5.14516134
97	5.123938982
98	5.100522081
99	5.075882132
100	5.058063866
101	5.041686078
102	5.024193652
103	5.00534221
104	4.9926705
105	4.968831178
106	4.945982811
107	4.929170474
108	4.911444306
109	4.891901422
110	4.881824912
111	4.86868432
112	4.848221886
113	4.830302735
114	4.811802926
115	4.791779847
116	4.776552652
117	4.762768161
118	4.745579376
119	4.737425383
120	4.724622836
121	4.710471692
122	4.691420435
123	4.686691062
124	4.669750258
125	4.657981234
126	4.642550425
127	4.62553465
128	4.60850169
129	4.591649871
130	4.579130298
131	4.56929932
132	4.554621158
133	4.538138143
134	4.535995132
135	4.519026551
136	4.507882931
137	4.495662679
138	4.489888602
139	4.480266678
140	4.465637061
141	4.454733022
142	4.44470747
143	4.434916092
144	4.42759236
145	4.416144903
146	4.408532816
147	4.406795471
148	4.39938608
149	4.387900858
150	4.387140677
151	4.373890181
152	4.36425132
153	4.354903018
154	4.353545804
155	4.342557556
156	4.328708064
157	4.320120371
158	4.309131217
159	4.298729057
160	4.297332432
161	4.282121778
162	4.270302137
163	4.262061859
164	4.248826377
165	4.240161155
166	4.230286524
167	4.221709073
168	4.21496621
169	4.207854921
170	4.203796359
171	4.194034513
172	4.190162639
173	4.188177346
174	4.179694891
175	4.168497072
176	4.167165553
177	4.162485211
178	4.158399553
179	4.148730395
180	4.140533747
181	4.133084157
182	4.127819854
183	4.126580603
184	4.119302383
185	4.108918453
186	4.106403559
187	4.100330031
188	4.093235178
189	4.086002508
190	4.082251565
191	4.081003935
192	4.077449593
193	4.076570734
194	4.065806847
195	4.061438238
196	4.05806943
197	4.050837452
198	4.032342894
199	4.02812768
200	4.025386785
201	4.013803912
202	4.0119159
203	3.993316599
204	3.984154434
205	3.977464215
206	3.968710427
207	3.963431794
208	3.955849927
209	3.952233749
210	3.947757828
211	3.945258852
212	3.9412307
213	3.931943825
214	3.931330228
215	3.925472944
216	3.917314252
217	3.907344463
218	3.901477704
219	3.892579393
220	3.879215851
221	3.874154818
222	3.873339755
223	3.860147652
224	3.849977473
225	3.846494752
226	3.843471811
227	3.837898955
228	3.834642193
229	3.833649356
230	3.830471531
231	3.829328436
232	3.825878054
233	3.818318553
234	3.812943547
235	3.809201504
236	3.795856719
237	3.791935848
238	3.784600318
239	3.779745809
240	3.776025725
241	3.773610253
242	3.773167267
243	3.767121715
244	3.759509679
245	3.755935979
246	3.754565219
247	3.750025451
248	3.743081796
249	3.739942422
250	3.737352783
251	3.735725833
252	3.729712393
253	3.720311666
254	3.715452103
255	3.711819877
256	3.708171897
257	3.703494419
258	3.698406303
259	3.691729996
260	3.691161954
261	3.690429452
262	3.685931674
263	3.682080683
264	3.67973497
265	3.679503056
266	3.67577446
267	3.671900421
268	3.671578941
269	3.663282735
270	3.656339266
271	3.647211573
272	3.645361296
273	3.639076251
274	3.632747376
275	3.627539982
276	3.619650778
277	3.612627309
278	3.608200599
279	3.607541685
280	3.606668818
281	3.602269116
282	3.592471717
283	3.584345483
284	3.583955026
285	3.580758579
286	3.577853891
287	3.57177107
288	3.571500284
289	3.571193455
290	3.565021928
291	3.55606866
292	3.544426989
293	3.539666643
294	3.535990596
295	3.53140466
296	3.518064253
297	3.512524282
298	3.506906865
299	3.502135767
300	3.49948266
301	3.496521727
302	3.487809065
303	3.484613227
304	3.480548633
305	3.472465887
306	3.463443816
307	3.461159722
308	3.453564427
309	3.452741328
