iter	Passed	Remaining
0	164	81972
1	202	50329
2	245	40677
3	289	35858
4	327	32374
5	379	31264
6	428	30182
7	475	29263
8	523	28585
9	578	28341
10	636	28307
11	699	28459
12	758	28408
13	824	28613
14	879	28450
15	937	28367
16	974	27680
17	1032	27656
18	1093	27685
19	1156	27762
20	1215	27713
21	1263	27457
22	1307	27118
23	1359	26969
24	1405	26712
25	1448	26406
26	1491	26130
27	1545	26055
28	1603	26047
29	1663	26054
30	1722	26057
31	1785	26114
32	1816	25713
33	1872	25665
34	1936	25733
35	1992	25683
36	2041	25548
37	2085	25351
38	2099	24822
39	2153	24760
40	2211	24758
41	2272	24776
42	2329	24758
43	2390	24770
44	2446	24734
45	2492	24599
46	2537	24459
47	2581	24306
48	2620	24119
49	2666	23994
50	2722	23971
51	2782	23975
52	2845	23995
53	2909	24031
54	2954	23908
55	2998	23777
56	3043	23657
57	3081	23480
58	3127	23376
59	3170	23251
60	3215	23140
61	3259	23023
62	3302	22909
63	3348	22812
64	3397	22736
65	3444	22650
66	3489	22553
67	3504	22263
68	3548	22164
69	3592	22068
70	3635	21965
71	3683	21898
72	3712	21716
73	3755	21617
74	3798	21522
75	3840	21427
76	3862	21218
77	3904	21126
78	3947	21035
79	3990	20949
80	4018	20789
81	4064	20718
82	4101	20605
83	4143	20521
84	4188	20448
85	4232	20374
86	4274	20292
87	4303	20146
88	4346	20070
89	4374	19929
90	4417	19855
91	4461	19784
92	4504	19715
93	4547	19642
94	4590	19569
95	4604	19377
96	4639	19277
97	4685	19219
98	4731	19166
99	4788	19153
100	4854	19178
101	4917	19189
102	4977	19184
103	5040	19193
104	5101	19192
105	5165	19200
106	5213	19147
107	5258	19086
108	5302	19020
109	5348	18961
110	5391	18895
111	5434	18828
112	5478	18761
113	5521	18695
114	5563	18626
115	5606	18560
116	5649	18494
117	5693	18430
118	5736	18365
119	5779	18301
120	5822	18236
121	5865	18173
122	5909	18111
123	5930	17984
124	5973	17920
125	6016	17859
126	6061	17803
127	6104	17742
128	6147	17680
129	6192	17623
130	6236	17567
131	6279	17506
132	6322	17446
133	6365	17387
134	6388	17273
135	6431	17212
136	6474	17154
137	6516	17095
138	6559	17035
139	6602	16977
140	6646	16921
141	6689	16865
142	6732	16807
143	6781	16766
144	6827	16716
145	6871	16661
146	6914	16603
147	6957	16548
148	6999	16489
149	7044	16437
150	7058	16314
151	7103	16264
152	7147	16209
153	7190	16154
154	7233	16099
155	7274	16042
156	7320	15993
157	7362	15936
158	7405	15881
159	7447	15826
160	7490	15771
161	7531	15714
162	7576	15664
163	7618	15609
164	7661	15554
165	7704	15502
166	7747	15448
167	7789	15393
168	7832	15340
169	7875	15287
170	7917	15232
171	7975	15209
172	8036	15189
173	8103	15182
174	8164	15161
175	8226	15144
176	8281	15112
177	8329	15067
178	8372	15013
179	8414	14958
180	8461	14913
181	8504	14859
182	8547	14805
183	8588	14749
184	8631	14696
185	8675	14645
186	8719	14594
187	8763	14542
188	8805	14489
189	8847	14435
190	8890	14383
191	8932	14328
192	8975	14276
193	9020	14228
194	9065	14179
195	9110	14130
196	9152	14077
197	9195	14025
198	9238	13973
199	9282	13924
200	9333	13883
201	9379	13837
202	9426	13791
203	9473	13745
204	9516	13695
205	9561	13645
206	9603	13594
207	9647	13543
